subject_id,n_trials,accuracy
3,42,0.4523809523809524
5,39,0.5128205128205128
19,38,0.6578947368421053
22,33,0.5151515151515151
25,45,0.6888888888888889
26,45,0.5333333333333333
28,11,0.7272727272727273
34,45,0.8222222222222222
43,28,0.6785714285714286
51,45,0.5777777777777777
52,14,0.6428571428571429
53,28,0.6071428571428571
57,37,0.6216216216216216
60,27,0.7407407407407407
62,45,0.8888888888888888
72,45,0.8
82,43,0.5348837209302325
93,45,0.7333333333333333
98,45,0.5333333333333333
100,11,0.45454545454545453
